K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
10;random;971882.1875;0.35319242073240387;8266.298579411758;-0.7553702970758851;kmeans;150;glove;WMD;Distance;10;0.0001
9;k-means++;1083875.625;0.34627253684935705;8216.616046139203;-0.778910488433508;kmeans;150;glove;WMD;Distance;10;0.0001
9;random;1086617.125;0.35588458910660026;8193.19381400321;-0.7809996499383249;kmeans;150;glove;WMD;Distance;10;0.0001
4;random;2439641.25;0.36941047322950665;7980.398226783129;-0.8293944696117209;kmeans;150;glove;WMD;Distance;10;0.0001
4;k-means++;2439675.0;0.3695562547788716;7980.35647182739;-0.8266848016188252;kmeans;150;glove;WMD;Distance;10;0.0001
6;k-means++;1657072.0;0.3697539177070179;7944.876516163971;-0.7896559864007594;kmeans;150;glove;WMD;Distance;10;0.0001
6;random;1657499.875;0.369414670132891;7942.592523773761;-0.7750639275978057;kmeans;150;glove;WMD;Distance;10;0.0001
5;random;2022421.75;0.3457896893598622;7709.085719977537;-0.7839686028717494;kmeans;150;glove;WMD;Distance;10;0.0001
5;k-means++;2022670.0;0.3456046842111929;7708.145054446074;-0.7842610390586251;kmeans;150;glove;WMD;Distance;10;0.0001
3;k-means++;3310020.0;0.3804521002336569;7574.972987468324;-0.8329643296280337;kmeans;150;glove;WMD;Distance;10;0.0001
3;random;3310178.0;0.38049377013666663;7574.518236271624;-0.8365122412443383;kmeans;150;glove;WMD;Distance;10;0.0001
2;random;5282417.5;0.35548097236189;5947.404356005632;-0.8397024665021589;kmeans;150;glove;WMD;Distance;10;0.0001
2;k-means++;5282416.0;0.35548097236189;5947.404356005632;-0.8397024665021589;kmeans;150;glove;WMD;Distance;10;0.0001
13;k-means++;431840.34375;0.367642548179142;8870.307615182302;-0.7675863575904707;kmeans;200;glove;WMD;Distance;10;0.0001
13;random;432343.8125;0.36707228000341724;8858.931252259667;-0.7661887046360544;kmeans;200;glove;WMD;Distance;10;0.0001
14;random;402507.3125;0.3587311694218314;8836.805554168364;-0.7546800423724813;kmeans;200;glove;WMD;Distance;10;0.0001
12;random;469932.53125;0.3652257817131019;8823.007448262802;-0.7682953697824285;kmeans;200;glove;WMD;Distance;10;0.0001
12;k-means++;469941.625;0.3653659495078074;8822.920159819016;-0.7709376009262985;kmeans;200;glove;WMD;Distance;10;0.0001
14;k-means++;403639.8125;0.36181543977423486;8809.774977463745;-0.7594063319751884;kmeans;200;glove;WMD;Distance;10;0.0001
11;k-means++;513259.59375;0.3684013486368443;8806.913462783263;-0.8195009367470072;kmeans;200;glove;WMD;Distance;10;0.0001
11;random;513282.625;0.36840333628160066;8806.584806358807;-0.8185977329191976;kmeans;200;glove;WMD;Distance;10;0.0001
10;random;573092.3125;0.3595292654341069;8654.531861554136;-0.7860558451504585;kmeans;200;glove;WMD;Distance;10;0.0001
10;k-means++;573308.125;0.36006737582843357;8651.013749743399;-0.754639531388654;kmeans;200;glove;WMD;Distance;10;0.0001
8;random;715344.0625;0.35899094386882796;8646.778622314747;-0.8164618469923135;kmeans;200;glove;WMD;Distance;10;0.0001
8;k-means++;715361.5;0.3590706268229179;8646.475711086463;-0.8291289379200791;kmeans;200;glove;WMD;Distance;10;0.0001
9;k-means++;643520.0;0.3462907699213676;8541.89224235179;-0.8207687716948261;kmeans;200;glove;WMD;Distance;10;0.0001
9;random;644169.9375;0.3621112420370372;8532.142316135427;-0.8226175293054999;kmeans;200;glove;WMD;Distance;10;0.0001
7;k-means++;828515.5625;0.369304303407416;8494.706773315742;-0.8057057120380511;kmeans;200;glove;WMD;Distance;10;0.0001
7;random;828594.375;0.36931597828496765;8493.970337052664;-0.7994033670267536;kmeans;200;glove;WMD;Distance;10;0.0001
6;random;975984.5625;0.3724552181031078;8367.525462730691;-0.8270659337477646;kmeans;200;glove;WMD;Distance;10;0.0001
6;k-means++;976008.4375;0.3724146423490103;8367.333718878193;-0.8440875328362398;kmeans;200;glove;WMD;Distance;10;0.0001
5;random;1168639.25;0.3551442865060882;8344.717092899577;-0.8405113090771629;kmeans;200;glove;WMD;Distance;10;0.0001
5;k-means++;1168701.375;0.35492826496323776;8344.061502505701;-0.868181223163529;kmeans;200;glove;WMD;Distance;10;0.0001
4;random;1454347.875;0.3764119209483582;8319.322070499511;-0.8462788587953752;kmeans;200;glove;WMD;Distance;10;0.0001
4;k-means++;1454352.625;0.3764112835891877;8319.319036769868;-0.8462676142471101;kmeans;200;glove;WMD;Distance;10;0.0001
3;k-means++;1957373.375;0.3951417789597037;8052.595623677612;-0.8474804232638187;kmeans;200;glove;WMD;Distance;10;0.0001
3;random;1957388.75;0.39513867059053615;8052.563402598028;-0.8474897338682137;kmeans;200;glove;WMD;Distance;10;0.0001
2;random;3233881.75;0.36116918946540044;5999.391923787779;-0.8713931457085248;kmeans;200;glove;WMD;Distance;10;0.0001
2;k-means++;3233881.5;0.36116918946540044;5999.391923787779;-0.8713931457085248;kmeans;200;glove;WMD;Distance;10;0.0001
